passenger_class,sex,age,fare,cabin_letter,survived
upper_class,female,teenager,over_100,C,yes
upper_class,male,adult,20_to_30,E,yes
lower_class,female,teenager,10_to_20,U,no
lower_class,male,young_adult,under_10,U,no
lower_class,male,young_adult,under_10,U,no
middle_class,male,adult,20_to_30,U,no
middle_class,female,adult,10_to_20,U,yes
upper_class,male,adult,20_to_30,E,yes
upper_class,female,young_adult,over_100,U,yes
lower_class,male,unknown,10_to_20,U,yes
upper_class,female,young_adult,30_to_50,C,yes
upper_class,male,unknown,20_to_30,C,no
upper_class,male,adult,50_to_75,C,yes
lower_class,male,young_adult,under_10,U,no
middle_class,male,old,10_to_20,U,no
lower_class,male,teenager,under_10,F,no
upper_class,female,adult,over_100,C,yes
middle_class,female,young_adult,10_to_20,E,yes
lower_class,male,unknown,10_to_20,U,no
lower_class,male,adult,under_10,U,no
middle_class,female,child,30_to_50,U,yes
lower_class,male,teenager,under_10,U,no
middle_class,male,adult,10_to_20,U,no
middle_class,male,adult,10_to_20,U,no
upper_class,male,young_adult,50_to_75,E,yes
lower_class,male,teenager,under_10,U,no
middle_class,female,young_adult,20_to_30,U,yes
lower_class,female,unknown,under_10,U,yes
middle_class,male,young_adult,20_to_30,U,no
lower_class,female,young_adult,under_10,U,no
upper_class,female,young_adult,over_100,B,yes
lower_class,male,child,10_to_20,U,no
middle_class,male,unknown,under_10,U,no
middle_class,male,young_adult,10_to_20,U,no
middle_class,male,young_adult,10_to_20,U,no
lower_class,male,young_adult,10_to_20,U,no
lower_class,female,adult,30_to_50,U,no
upper_class,male,adult,over_100,B,yes
lower_class,male,unknown,under_10,U,no
lower_class,male,unknown,under_10,U,no
upper_class,male,unknown,20_to_30,D,yes
upper_class,male,adult,75_to_100,C,no
upper_class,female,young_adult,over_100,B,yes
lower_class,male,young_adult,10_to_20,U,no
lower_class,male,adult,under_10,U,yes
upper_class,male,old,50_to_75,B,no
lower_class,male,teenager,20_to_30,U,no
middle_class,female,young_adult,10_to_20,U,yes
upper_class,male,teenager,50_to_75,D,no
lower_class,male,adult,under_10,U,no
middle_class,female,small_child,20_to_30,U,yes
lower_class,male,child,10_to_20,E,yes
lower_class,male,adult,under_10,U,no
lower_class,male,young_adult,under_10,U,no
middle_class,female,adult,50_to_75,U,yes
middle_class,male,infant,10_to_20,U,yes
lower_class,male,young_adult,under_10,U,no
middle_class,male,teenager,10_to_20,U,no
lower_class,male,adult,under_10,U,no
upper_class,female,adult,75_to_100,B,yes
lower_class,male,unknown,10_to_20,U,no
lower_class,male,adult,under_10,U,no
lower_class,male,teenager,under_10,U,yes
upper_class,female,adult,over_100,B,yes
lower_class,male,teenager,under_10,U,no
upper_class,female,old,75_to_100,D,yes
upper_class,male,unknown,30_to_50,U,no
lower_class,female,adult,under_10,U,no
lower_class,male,unknown,20_to_30,U,no
lower_class,male,adult,under_10,U,no
lower_class,male,young_adult,under_10,U,no
lower_class,male,adult,under_10,U,no
middle_class,female,old,10_to_20,E,no
lower_class,male,unknown,under_10,U,no
middle_class,female,old,20_to_30,U,yes
lower_class,male,teenager,under_10,U,no
lower_class,male,unknown,under_10,F,no
lower_class,female,small_child,10_to_20,U,yes
lower_class,male,unknown,under_10,U,no
upper_class,female,adult,over_100,B,yes
lower_class,female,teenager,under_10,U,yes
upper_class,female,teenager,50_to_75,B,yes
upper_class,male,young_adult,20_to_30,D,no
lower_class,male,unknown,20_to_30,U,no
lower_class,male,young_adult,under_10,U,no
lower_class,male,young_adult,under_10,U,no
lower_class,female,teenager,under_10,U,yes
lower_class,male,child,20_to_30,U,no
lower_class,male,infant,20_to_30,U,yes
upper_class,male,adult,75_to_100,B,no
